Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
31/08/2018,Sim,,TI,Dev,Sim,Sim,?,,Sim,
31/08/2018,Sim,,TI,Suporte,Não,Não,Empresa própria,,Sim,Sim
31/08/2018,Não,Procurando,,,Não,Sim,,,Sim,
31/08/2018,Sim,,TI,Suporte,Não,Não,Hospital Frei Galvão,,Sim,Sim
31/08/2018,Sim,,Administração,,Não,Sim,Reformadora de Pneus Taubaté,,Sim,
31/08/2018,Sim,,TI,Sistemas,Sim,Sim,Autofix,,Sim,
31/08/2018,Sim,,TI,Suporte,Sim,Sim,Liebherr (terceirizada),,Sim,
31/08/2018,Sim,,Administração,,Não,Não,JB Araújo,,Sim,
31/08/2018,Sim,,TI,Sistemas,Não,Não,Liebherr,,Sim,
18/10/2018,Sim,,TI,Dev,Sim,Não,HFocus,Sim,Sim,
14/03/2019,Não,Estudando,,,,Não,,,Sim,
14/03/2019,Sim,,TI,Redes,Sim,Sim,Stefanini Rafael,Sim,Sim,
14/03/2019,Sim,,TI,Dev,Sim,Não,Itaú,Sim,Sim,
14/03/2019,Sim,,Vendas,,Não,Não,Petra Ótica,,Sim,
14/03/2019,Sim,,TI,Sistemas,Sim,Sim,Softvale,,Sim,Sim
14/03/2019,Sim,,Administração,,Sim,Sim,Atacadão,,Sim,
14/03/2019,Sim,,Financeiro,,Não,Sim,Posto de Gasolina,,Sim,
14/03/2019,Sim,,Administração,,Não,Sim,Vogue Femme,,Sim,
14/03/2019,Sim,,Administração,,Não,Não,NGA Distribuidora,,Sim,
14/03/2019,Sim,,TI,Dev,Sim,Não,Amex,,Sim,
14/03/2019,Sim,,TI,Dev,Não,Não,Orica,,Sim,Sim
14/03/2019,Sim,,Contabilidade,,Sim,Sim,,,Sim,
14/03/2019,Sim,,TI,Dev,Sim,Sim,Líax,,Sim,Sim
14/03/2019,Sim,,Educação,,Não,Não,Prefeitura de Guaratinguetá,,Sim,
14/03/2019,Sim,,TI,Dev,Sim,Não,Líax,,Sim,
